[09:22:20 | Rank 6112 | INFO] 输入文件验证通过
[09:22:20 | Rank 6112 | INFO] 配置文件加载成功
[09:22:20 | Rank 6112 | INFO] 多物理场注浆模拟器（简化两场系统，独立空间）初始化完成
[09:22:20 | Rank 6112 | INFO] 进程数: 1
[09:22:20 | Rank 6112 | INFO] 配置文件: /root/shared/Dynamic_simple_2D/config/grouting_config.yaml
[09:22:20 | Rank 6112 | INFO] 网格文件: /root/shared/Dynamic_simple_2D/meshes/foundation_axisymmetric.msh
[09:22:20 | Rank 6112 | INFO] 输出目录: /root/shared/Dynamic_simple_2D/results
[09:22:20 | Rank 6112 | INFO] ============================================================
[09:22:20 | Rank 6112 | INFO] 开始多物理场注浆模拟（简化两场系统，独立空间）
[09:22:20 | Rank 6112 | INFO] ============================================================
[09:22:20 | Rank 6112 | INFO] 开始初始化各模块...
[09:22:21 | Rank 6112 | INFO] 网格信息: 34705 个单元, 17781 个节点
[09:22:21 | Rank 6112 | INFO] 初始条件设置完成：压力初始化为静水压力，位移为零
[09:22:21 | Rank 6112 | INFO] 函数空间: 位移自由度 35562, 压力自由度 17781
[09:22:21 | Rank 6112 | INFO] 所有模块初始化完成
[09:22:21 | Rank 6112 | INFO] 总模拟时间: 180.0秒
[09:22:21 | Rank 6112 | INFO] 最大时间步数: 10000
[09:22:21 | Rank 6112 | INFO] 保存频率: 每 1 步
[09:22:21 | Rank 6112 | INFO] 时间步 1: t=0.1s, dt=0.120s, 进度=0.1%
[09:25:20 | Rank 6112 | INFO] 时间步 100: t=92.7s, dt=1.000s, 进度=51.5%
[09:27:59 | Rank 6112 | INFO] ============================================================
[09:27:59 | Rank 6112 | INFO] 模拟成功完成
[09:27:59 | Rank 6112 | INFO] 总时间步数: 188
[09:27:59 | Rank 6112 | INFO] 最终时间: 180.0s
[09:27:59 | Rank 6112 | INFO] ============================================================
[09:27:59 | Rank 6112 | INFO] 模拟资源已清理
